Source IP,Source Port,Destination IP,Destination Port,Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Flow Bytes/s,Flow Packets/s,Fwd Header Length,Bwd Header Length,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,ECE Flag Count,FIN Flag Count
192.168.1.10,49000,10.0.0.5,80,6,1200000,6,7,450,1500,150,0,75,500,0,214.28,1625.0,10.83,120,140,1,0,2,8,0,0,1
192.168.1.11,49001,10.0.0.5,443,6,1250000,6,7,450,1500,150,0,75,500,0,214.28,1625.0,10.83,120,140,1,0,2,8,0,0,1
192.168.1.12,49002,10.0.0.5,80,6,1300000,6,7,450,1500,150,0,75,500,0,214.28,1625.0,10.83,120,140,1,0,2,8,0,0,1
192.168.1.13,49003,10.0.0.5,443,6,1350000,6,7,450,1500,150,0,75,500,0,214.28,1625.0,10.83,120,140,1,0,2,8,0,0,1
192.168.1.14,49004,10.0.0.5,80,6,1400000,6,7,450,1500,150,0,75,500,0,214.28,1625.0,10.83,120,140,1,0,2,8,0,0,1
192.168.1.15,49005,10.0.0.5,443,6,1450000,6,7,450,1500,150,0,75,500,0,214.28,1625.0,10.83,120,140,1,0,2,8,0,0,1
192.168.1.16,49006,10.0.0.5,80,6,1500000,6,7,450,1500,150,0,75,500,0,214.28,1625.0,10.83,120,140,1,0,2,8,0,0,1
192.168.1.17,49007,10.0.0.5,443,6,1550000,6,7,450,1500,150,0,75,500,0,214.28,1625.0,10.83,120,140,1,0,2,8,0,0,1
192.168.1.18,49008,10.0.0.5,80,6,1600000,6,7,450,1500,150,0,75,500,0,214.28,1625.0,10.83,120,140,1,0,2,8,0,0,1
192.168.1.19,49009,10.0.0.5,443,6,1650000,6,7,450,1500,150,0,75,500,0,214.28,1625.0,10.83,120,140,1,0,2,8,0,0,1
