Source IP,Source Port,Destination IP,Destination Port,Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Flow Bytes/s,Flow Packets/s,Fwd Header Length,Bwd Header Length,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,ECE Flag Count,FIN Flag Count
10.0.5.2,9999,192.168.1.50,443,6,90000,450,8,33300,592,74,74,74,74,74,74,376577.78,5088.89,9000,160,310,8,45,50,0,0,0
10.0.5.3,9999,192.168.1.50,443,6,90100,450,8,33300,592,74,74,74,74,74,74,376577.78,5088.89,9000,160,310,8,45,50,0,0,0
10.0.5.4,9999,192.168.1.50,443,6,90200,450,8,33300,592,74,74,74,74,74,74,376577.78,5088.89,9000,160,310,8,45,50,0,0,0
10.0.5.5,9999,192.168.1.50,443,6,90300,450,8,33300,592,74,74,74,74,74,74,376577.78,5088.89,9000,160,310,8,45,50,0,0,0
10.0.5.6,9999,192.168.1.50,443,6,90400,450,8,33300,592,74,74,74,74,74,74,376577.78,5088.89,9000,160,310,8,45,50,0,0,0
10.0.5.7,9999,192.168.1.50,443,6,90500,450,8,33300,592,74,74,74,74,74,74,376577.78,5088.89,9000,160,310,8,45,50,0,0,0
10.0.5.8,9999,192.168.1.50,443,6,90600,450,8,33300,592,74,74,74,74,74,74,376577.78,5088.89,9000,160,310,8,45,50,0,0,0
10.0.5.9,9999,192.168.1.50,443,6,90700,450,8,33300,592,74,74,74,74,74,74,376577.78,5088.89,9000,160,310,8,45,50,0,0,0
10.0.5.10,9999,192.168.1.50,443,6,90800,450,8,33300,592,74,74,74,74,74,74,376577.78,5088.89,9000,160,310,8,45,50,0,0,0
10.0.5.11,9999,192.168.1.50,443,6,90900,450,8,33300,592,74,74,74,74,74,74,376577.78,5088.89,9000,160,310,8,45,50,0,0,0
