Source IP,Source Port,Destination IP,Destination Port,Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Flow Bytes/s,Flow Packets/s,Fwd Header Length,Bwd Header Length,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,ECE Flag Count,FIN Flag Count
172.16.0.100,52000,192.168.10.1,80,6,15000,120,0,7680,0,64,64,64,0,0,0,512000.0,8000.0,2400,0,120,0,0,0,0,0,0
172.16.0.101,52001,192.168.10.1,80,6,15000,120,0,7680,0,64,64,64,0,0,0,512000.0,8000.0,2400,0,120,0,0,0,0,0,0
172.16.0.102,52002,192.168.10.1,80,6,15000,120,0,7680,0,64,64,64,0,0,0,512000.0,8000.0,2400,0,120,0,0,0,0,0,0
172.16.0.103,52003,192.168.10.1,80,6,15000,120,0,7680,0,64,64,64,0,0,0,512000.0,8000.0,2400,0,120,0,0,0,0,0,0
172.16.0.104,52004,192.168.10.1,80,6,15000,120,0,7680,0,64,64,64,0,0,0,512000.0,8000.0,2400,0,120,0,0,0,0,0,0
172.16.0.105,52005,192.168.10.1,80,6,15000,120,0,7680,0,64,64,64,0,0,0,512000.0,8000.0,2400,0,120,0,0,0,0,0,0
172.16.0.106,52006,192.168.10.1,80,6,15000,120,0,7680,0,64,64,64,0,0,0,512000.0,8000.0,2400,0,120,0,0,0,0,0,0
172.16.0.107,52007,192.168.10.1,80,6,15000,120,0,7680,0,64,64,64,0,0,0,512000.0,8000.0,2400,0,120,0,0,0,0,0,0
172.16.0.108,52008,192.168.10.1,80,6,15000,120,0,7680,0,64,64,64,0,0,0,512000.0,8000.0,2400,0,120,0,0,0,0,0,0
172.16.0.109,52009,192.168.10.1,80,6,15000,120,0,7680,0,64,64,64,0,0,0,512000.0,8000.0,2400,0,120,0,0,0,0,0,0
