Source IP,Source Port,Destination IP,Destination Port,Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Flow Bytes/s,Flow Packets/s,Fwd Header Length,Bwd Header Length,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,ECE Flag Count,FIN Flag Count
192.168.1.10,49000,10.0.0.5,80,6,1200000,6,7,450,1500,150,0,75,500,0,214.28,1625.0,10.83,120,140,1,0,2,8,0,0,1
172.16.0.100,52000,192.168.10.1,80,6,15000,120,0,7680,0,64,64,64,0,0,0.0,512000.0,8000.0,2400,0,120,0,0,0,0,0,0
192.168.1.150,35000,192.168.1.1,20,6,4000,6,1,240,40,40,40,40,40,40,40.0,70000.0,1750.0,120,40,1,5,0,1,0,0,0
10.0.5.2,9999,192.168.1.50,443,6,90000,450,8,33300,592,74,74,74,74,74,74.0,376577.78,5088.89,9000,160,310,8,45,50,0,0,0
192.168.1.11,49001,10.0.0.5,443,6,1250000,6,7,450,1500,150,0,75,500,0,214.28,1625.0,10.83,120,140,1,0,2,8,0,0,1
172.16.0.101,52001,192.168.10.1,80,6,15000,120,0,7680,0,64,64,64,0,0,0.0,512000.0,8000.0,2400,0,120,0,0,0,0,0,0
192.168.1.150,35001,192.168.1.1,21,6,4000,6,1,240,40,40,40,40,40,40,40.0,70000.0,1750.0,120,40,1,5,0,1,0,0,0
10.0.5.3,9999,192.168.1.50,443,6,90100,450,8,33300,592,74,74,74,74,74,74.0,376577.78,5088.89,9000,160,310,8,45,50,0,0,0
192.168.1.12,49002,10.0.0.5,80,6,1300000,6,7,450,1500,150,0,75,500,0,214.28,1625.0,10.83,120,140,1,0,2,8,0,0,1
172.16.0.102,52002,192.168.10.1,80,6,15000,120,0,7680,0,64,64,64,0,0,0.0,512000.0,8000.0,2400,0,120,0,0,0,0,0,0
192.168.1.150,35002,192.168.1.1,22,6,4000,6,1,240,40,40,40,40,40,40,40.0,70000.0,1750.0,120,40,1,5,0,1,0,0,0
10.0.5.4,9999,192.168.1.50,443,6,90200,450,8,33300,592,74,74,74,74,74,74.0,376577.78,5088.89,9000,160,310,8,45,50,0,0,0
192.168.1.13,49003,10.0.0.5,443,6,1350000,6,7,450,1500,150,0,75,500,0,214.28,1625.0,10.83,120,140,1,0,2,8,0,0,1
172.16.0.103,52003,192.168.10.1,80,6,15000,120,0,7680,0,64,64,64,0,0,0.0,512000.0,8000.0,2400,0,120,0,0,0,0,0,0
192.168.1.150,35003,192.168.1.1,23,6,4000,6,1,240,40,40,40,40,40,40,40.0,70000.0,1750.0,120,40,1,5,0,1,0,0,0
10.0.5.5,9999,192.168.1.50,443,6,90300,450,8,33300,592,74,74,74,74,74,74.0,376577.78,5088.89,9000,160,310,8,45,50,0,0,0
192.168.1.14,49004,10.0.0.5,80,6,1400000,6,7,450,1500,150,0,75,500,0,214.28,1625.0,10.83,120,140,1,0,2,8,0,0,1
172.16.0.104,52004,192.168.10.1,80,6,15000,120,0,7680,0,64,64,64,0,0,0.0,512000.0,8000.0,2400,0,120,0,0,0,0,0,0
192.168.1.150,35004,192.168.1.1,24,6,4000,6,1,240,40,40,40,40,40,40,40.0,70000.0,1750.0,120,40,1,5,0,1,0,0,0
10.0.5.6,9999,192.168.1.50,443,6,90400,450,8,33300,592,74,74,74,74,74,74.0,376577.78,5088.89,9000,160,310,8,45,50,0,0,0
