Source IP,Source Port,Destination IP,Destination Port,Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Flow Bytes/s,Flow Packets/s,Fwd Header Length,Bwd Header Length,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,ECE Flag Count,FIN Flag Count
192.168.1.150,35000,192.168.1.1,20,6,4000,6,1,240,40,40,40,40,40,40,40,70000.0,1750.0,120,40,1,5,0,1,0,0,0
192.168.1.150,35001,192.168.1.1,21,6,4000,6,1,240,40,40,40,40,40,40,40,70000.0,1750.0,120,40,1,5,0,1,0,0,0
192.168.1.150,35002,192.168.1.1,22,6,4000,6,1,240,40,40,40,40,40,40,40,70000.0,1750.0,120,40,1,5,0,1,0,0,0
192.168.1.150,35003,192.168.1.1,23,6,4000,6,1,240,40,40,40,40,40,40,40,70000.0,1750.0,120,40,1,5,0,1,0,0,0
192.168.1.150,35004,192.168.1.1,24,6,4000,6,1,240,40,40,40,40,40,40,40,70000.0,1750.0,120,40,1,5,0,1,0,0,0
192.168.1.150,35005,192.168.1.1,25,6,4000,6,1,240,40,40,40,40,40,40,40,70000.0,1750.0,120,40,1,5,0,1,0,0,0
192.168.1.150,35006,192.168.1.1,26,6,4000,6,1,240,40,40,40,40,40,40,40,70000.0,1750.0,120,40,1,5,0,1,0,0,0
192.168.1.150,35007,192.168.1.1,27,6,4000,6,1,240,40,40,40,40,40,40,40,70000.0,1750.0,120,40,1,5,0,1,0,0,0
192.168.1.150,35008,192.168.1.1,28,6,4000,6,1,240,40,40,40,40,40,40,40,70000.0,1750.0,120,40,1,5,0,1,0,0,0
192.168.1.150,35009,192.168.1.1,29,6,4000,6,1,240,40,40,40,40,40,40,40,70000.0,1750.0,120,40,1,5,0,1,0,0,0
